service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
79524,1,1,1,1,1,0,0,20160304,20160617
78625,0,1,1,1,1,0,0,20160304,20160617
71608,0,0,0,0,0,0,0,20160304,20160610
65409,1,1,1,1,1,0,0,20160328,20160617
64510,0,1,1,1,1,0,0,20160328,20160617
61453,0,1,1,1,1,0,0,20160328,20160610
59533,0,0,0,0,0,0,0,20160328,20160617
57439,0,0,0,0,0,0,0,20160328,20160615
57233,0,0,0,0,0,0,0,20160328,20160617
51272,1,1,1,1,0,0,0,20160328,20160616
50530,0,1,0,1,1,0,0,20160328,20160614
46158,0,0,0,0,0,0,0,20160328,20160617
23796,0,0,0,0,0,0,0,20160307,20160617
18593,0,0,0,0,1,0,0,20160304,20160617
18352,0,0,1,0,0,0,0,20160330,20160615
15085,0,0,0,0,0,1,0,20160305,20160611
14137,0,0,0,0,1,0,0,20160401,20160617
14115,1,1,1,1,1,0,0,20160304,20160325
13980,0,0,1,0,0,0,0,20160330,20160617
13938,0,0,0,0,0,0,0,20160309,20160615
13383,1,1,0,1,1,0,0,20160304,20160325
13339,1,1,1,1,0,0,0,20160304,20160325
13230,0,1,1,1,1,0,0,20160304,20160325
13212,0,0,0,0,0,0,0,20160304,20160617
12922,0,0,0,0,0,0,0,20160309,20160615
12904,0,0,0,0,0,0,0,20160309,20160608
12535,0,0,0,0,0,0,1,20160306,20160612
12091,0,0,0,0,0,0,0,20160330,20160615
11636,0,0,0,0,0,0,1,20160306,20160612
11492,1,1,0,1,0,0,0,20160304,20160325
11383,0,1,0,1,1,0,0,20160304,20160325
11075,0,0,0,0,0,0,0,20160330,20160615
11057,0,0,0,0,0,0,0,20160330,20160608
10660,0,0,0,0,0,1,0,20160326,20160611
10403,0,0,0,0,0,0,1,20160327,20160612
10155,1,1,1,1,1,0,0,20160304,20160318
9659,1,1,1,1,0,0,0,20160307,20160324
9504,0,0,0,0,0,0,1,20160327,20160612
7277,0,0,0,0,0,0,0,20160404,20160527
4977,0,0,0,0,0,0,0,20160411,20160601
4456,0,0,0,0,1,0,0,20160304,20160325
4425,0,0,0,0,0,1,0,20160305,20160319
3960,1,1,1,1,1,0,0,20160321,20160325
3057,1,1,1,1,1,0,0,20160613,20160617
3010,0,0,0,0,0,1,0,20160305,20160312
2732,0,0,1,0,0,0,0,20160309,20160323
2623,0,0,1,0,0,0,0,20160309,20160323
2132,0,0,0,0,0,0,1,20160306,20160320
1847,0,0,1,0,0,0,0,20160309,20160323
1685,0,0,0,0,0,0,1,20160306,20160313
1415,0,0,0,0,0,1,0,20160319,20160319
885,1,0,0,0,0,0,0,20160314,20160314
776,0,0,0,0,1,0,0,20160311,20160311
732,0,0,1,0,0,0,0,20160323,20160323
447,0,0,0,0,0,0,1,20160320,20160320
18,0,0,1,0,0,0,0,20160615,20160615
