block_identifier,service_id,trip_id,trip_sequence
3984051,14115,29674179,1
3984052,14115,29674182,1
3984053,14115,29674181,1
3984054,14115,29674180,1
3984055,14115,29674319,1
3984056,14115,29674315,1
3984056,14115,29674316,3
3984057,14115,29674317,1
3984057,14115,29674321,2
3984057,14115,29674320,4
3984058,14115,29674313,1
3984058,14115,29674314,3
3984059,14115,29675143,1
3984060,14115,29675146,1
3984061,14115,29675144,1
3984062,14115,29674400,1
3984063,14115,29674399,1
3984064,14115,29674318,1
3984064,14115,29674322,2
3984065,14115,29675028,1
3984065,14115,29675067,2
3984065,14115,29675030,3
3984065,14115,29675069,4
3984065,14115,29675034,5
3984065,14115,29675073,6
3984065,14115,29675038,7
3984065,14115,29675077,8
3984065,14115,29675041,9
3984065,14115,29675080,10
3984065,14115,29675044,11
3984065,14115,29675083,12
3984065,14115,29675047,13
3984065,14115,29675086,14
3984065,14115,29675050,15
3984065,14115,29675089,16
3984065,14115,29675054,17
3984065,14115,29675093,18
3984066,14115,29675029,1
3984066,14115,29675068,2
3984066,14115,29675032,3
3984066,14115,29675071,4
3984066,14115,29675036,5
3984066,14115,29675075,6
3984066,14115,29675040,7
3984066,14115,29675079,8
3984066,14115,29675043,9
3984066,14115,29675082,10
3984066,14115,29675046,11
3984066,14115,29675085,12
3984066,14115,29675049,13
3984066,14115,29675088,14
3984066,14115,29675052,15
3984066,14115,29675091,16
3984066,14115,29675057,17
3984066,14115,29675096,18
3984066,14115,29675061,19
3984066,14115,29675100,20
3984066,14115,29675063,21
3984066,14115,29675102,22
3984066,14115,29675065,23
3984066,14115,29675104,24
3984067,14115,29675031,1
3984067,14115,29675070,2
3984067,14115,29675035,3
3984067,14115,29675074,4
3984067,14115,29675039,5
3984067,14115,29675078,6
3984067,14115,29675042,7
3984067,14115,29675081,8
3984067,14115,29675045,9
3984067,14115,29675084,10
3984067,14115,29675048,11
3984067,14115,29675087,12
3984067,14115,29675051,13
3984067,14115,29675090,14
3984067,14115,29675055,15
3984067,14115,29675094,16
3984067,14115,29675059,17
3984067,14115,29675098,18
3984067,14115,29675062,19
3984067,14115,29675101,20
3984067,14115,29675064,21
3984067,14115,29675103,22
3984067,14115,29675066,23
3984067,14115,29675105,24
3984068,14115,29675033,1
3984068,14115,29675072,2
3984068,14115,29675037,3
3984068,14115,29675076,4
3984069,14115,29675056,1
3984069,14115,29675095,2
3984069,14115,29675060,3
3984069,14115,29675099,4
3984070,14115,29674401,1
3984071,14115,29675145,1
3984072,14115,29674398,1
3984073,14115,29674685,1
3984073,14115,29674644,2
3984073,14115,29674628,3
3984073,14115,29674738,4
3984073,14115,29674736,5
3984073,14115,29674656,6
3984073,14115,29674609,7
3984073,14115,29674719,8
3984073,14115,29674693,9
3984073,14115,29674663,10
3984073,14115,29674614,11
3984073,14115,29674727,12
3984073,14115,29674701,13
3984073,14115,29674650,14
3984074,14115,29674749,1
3984074,14115,29674751,2
3984075,14115,29674683,1
3984075,14115,29674757,2
3984075,14115,29674681,3
3984075,14115,29674716,4
3984075,14115,29674690,5
3984075,14115,29674660,6
3984075,14115,29674611,7
3984075,14115,29674723,8
3984075,14115,29674697,9
3984075,14115,29674651,10
3984075,14115,29674647,11
3984075,14115,29674708,12
3984076,14115,29674760,1
3984076,14115,29674710,2
3984076,14115,29674682,4
3984076,14115,29674653,5
3984077,14115,29674641,1
3984077,14115,29674759,2
3984077,14115,29674747,4
3984077,14115,29674655,5
3984078,14115,29674642,1
3984078,14115,29674648,2
3984078,14115,29674713,3
3984078,14115,29675455,4
3984078,14115,29674763,5
3984078,14115,29674608,6
3984078,14115,29674718,7
3984078,14115,29674692,8
3984078,14115,29674662,9
3984078,14115,29674613,10
3984078,14115,29674726,11
3984078,14115,29674700,12
3984078,14115,29674668,13
3984079,14115,29674605,1
3984079,14115,29674711,2
3984079,14115,29675452,3
3984080,14115,29674686,1
3984080,14115,29674652,2
3984080,14115,29674627,3
3984080,14115,29674737,4
3984080,14115,29674687,5
3984080,14115,29674657,6
3984080,14115,29674610,7
3984080,14115,29674720,8
3984080,14115,29674694,9
3984080,14115,29674664,10
3984080,14115,29674635,11
3984080,14115,29674707,12
3984080,14115,29674702,13
3984080,14115,29674670,14
3984080,14115,29674618,15
3984080,14115,29674734,16
3984080,14115,29674741,17
3984080,14115,29674676,18
3984080,14115,29674623,19
3984080,14115,29674911,20
3984080,14115,29675463,21
3984081,14115,29674756,1
3984081,14115,29674761,2
3984082,14115,29674607,1
3984083,14115,29674754,1
3984084,14115,29674762,1
3984084,14115,29675443,2
3984084,14115,29675446,3
3984085,14115,29674667,1
3984085,14115,29674646,2
3984085,14115,29674731,3
3984086,14115,29674753,1
3984086,14115,29674638,2
3984086,14115,29674732,3
3984086,14115,29674740,4
3984086,14115,29674675,5
3984086,14115,29674640,6
3984086,14115,29675467,7
3984086,14115,29675461,8
3984086,14115,29674680,9
3984086,14115,29674626,10
3984086,14115,29674937,11
3984087,14115,29674639,1
3984087,14115,29674733,2
3984088,14115,29674619,1
3984088,14115,29674735,2
3984088,14115,29674742,3
3984088,14115,29674677,4
3984088,14115,29674624,5
3984088,14115,29675465,6
3984088,14115,29675462,7
3984088,14115,29674936,8
3984088,14115,29674972,9
3984089,14115,29675118,1
3984090,14115,29675133,1
3984091,14115,29674977,1
3984091,14115,29674268,2
3984092,14115,29675006,1
3984092,14115,29675017,2
3984092,14115,29675020,4
3984092,14115,29674266,5
3984093,14115,29674976,1
3984093,14115,29674267,2
3984094,14115,29675007,1
3984094,14115,29675018,2
3984094,14115,29675013,4
3984094,14115,29675016,6
3984095,14115,29675115,1
3984096,14115,29675019,1
3984096,14115,29674265,2
3984096,14115,29675021,4
3984097,14115,29675110,1
3984097,14115,29675116,3
3984098,14115,29675123,1
3984099,14115,29675009,1
3984099,14115,29675022,3
3984100,14115,29675008,1
3984100,14115,29674913,2
3984100,14115,29675023,4
3984101,14115,29675125,1
3984101,14115,29675113,2
3984102,14115,29675011,1
3984103,14115,29674974,1
3984103,14115,29675127,2
3984103,14115,29675132,3
3984104,14115,29675010,1
3984105,14115,29675130,1
3984105,14115,29675114,3
3984106,14115,29675131,1
3984106,14115,29675122,3
3984107,14115,29675124,1
3984107,14115,29675111,2
3984107,14115,29675119,4
3984108,14115,29674973,1
3984108,14115,29675126,2
3984108,14115,29675117,3
3984109,14115,29675012,1
3984110,14115,29675129,1
3984110,14115,29675112,2
3984110,14115,29675121,4
3984111,14115,29674975,1
3984111,14115,29675128,2
3984111,14115,29675120,3
3984112,14115,29674312,1
3984113,14115,29675015,1
3984114,14115,29675014,1
3984115,14115,29675025,1
3984115,14115,29674914,2
3984116,14115,29675027,1
3984117,14115,29675024,1
3984117,14115,29674915,2
3984118,14115,29674978,1
3984118,14115,29674565,3
3984118,14115,29674541,4
3984118,14115,29674869,5
3984118,14115,29674776,7
3984118,14115,29674569,8
3984118,14115,29674544,9
3984118,14115,29675253,10
3984118,14115,29675218,11
3984119,14115,29675158,1
3984120,14115,29675157,1
3984121,14115,29675156,1
3984122,14115,29675155,1
3984123,14115,29675154,1
3984124,14115,29675153,1
3984125,14115,29675162,1
3984126,14115,29675161,1
3984127,14115,29675152,1
3984128,14115,29675151,1
3984129,14115,29675159,1
3984130,14115,29675150,1
3984131,14115,29675149,1
3984132,14115,29675160,1
3984133,14115,29675053,1
3984133,14115,29675092,2
3984133,14115,29675058,3
3984133,14115,29675097,4
3984134,14115,29674884,1
3984134,14115,29674889,3
3984134,14115,29674892,5
3984134,14115,29674895,7
3984135,14115,29674901,1
3984136,14115,29674897,1
3984136,14115,29674906,3
3984137,14115,29674885,1
3984137,14115,29674890,3
3984138,14115,29674898,1
3984138,14115,29674904,3
3984139,14115,29674907,1
3984140,14115,29674886,1
3984140,14115,29674891,3
3984140,14115,29674894,5
3984141,14115,29674900,1
3984142,14115,29674887,1
3984142,14115,29674893,3
3984143,14115,29674899,1
3984143,14115,29674905,3
3984144,14115,29674903,1
3984145,14115,29674888,1
3984146,14115,29674896,1
3984146,14115,29674902,3
3984147,14115,29674606,1
3984147,14115,29674712,2
3984147,14115,29675454,3
3984147,14115,29674654,4
3984147,14115,29674631,5
3984147,14115,29674717,6
3984147,14115,29674691,7
3984147,14115,29674661,8
3984147,14115,29674634,9
3984147,14115,29674724,10
3984147,14115,29674699,11
3984147,14115,29674649,12
3984147,14115,29674617,13
3984148,14115,29675458,1
3984149,14115,29675451,1
3984149,14115,29674643,2
3984149,14115,29674629,3
3984149,14115,29674714,4
3984149,14115,29674688,5
3984149,14115,29674658,6
3984149,14115,29674632,7
3984149,14115,29674721,8
3984149,14115,29674695,9
3984149,14115,29674665,10
3984149,14115,29674645,11
3984149,14115,29674728,12
3984149,14115,29674703,13
3984149,14115,29674669,14
3984150,14115,29674684,1
3984150,14115,29674755,2
3984151,14115,29675453,1
3984151,14115,29674748,3
3984151,14115,29674758,4
3984152,14115,29675449,1
3984153,14115,29675444,1
3984153,14115,29674704,2
3984153,14115,29674752,3
3984153,14115,29674620,4
3984153,14115,29674744,5
3984153,14115,29674743,6
3984153,14115,29674678,7
3984153,14115,29675459,8
3984153,14115,29675466,9
3984154,14115,29675457,1
3984155,14115,29674698,1
3984155,14115,29674671,2
3984155,14115,29674637,3
3984155,14115,29674709,4
3984155,14115,29674705,5
3984155,14115,29674672,6
3984156,14115,29675546,1
3984156,14115,29675529,2
3984156,14115,29675548,3
3984156,14115,29675531,4
3984156,14115,29675551,5
3984156,14115,29675533,6
3984156,14115,29675553,7
3984156,14115,29675535,8
3984157,14115,29675556,1
3984157,14115,29675521,2
3984157,14115,29675539,3
3984157,14115,29675524,4
3984157,14115,29675541,5
3984157,14115,29675522,6
3984157,14115,29675544,7
3984157,14115,29675527,8
3984158,14115,29675543,1
3984158,14115,29675526,2
3984158,14115,29675538,3
3984158,14115,29675523,4
3984158,14115,29675540,5
3984158,14115,29675525,6
3984158,14115,29675542,7
3984158,14115,29675555,8
3984159,14115,29675550,1
3984159,14115,29675537,2
3984159,14115,29675552,3
3984159,14115,29675534,4
3984159,14115,29675554,5
3984159,14115,29675536,6
3984160,14115,29674324,1
3984160,14115,29674198,2
3984160,14115,29674228,4
3984160,14115,29674204,5
3984160,14115,29674352,7
3984160,14115,29674363,8
3984160,14115,29674358,10
3984160,14115,29674367,11
3984160,14115,29674247,13
3984160,14115,29674305,14
3984160,14115,29674256,16
3984160,14115,29674194,17
3984160,14115,29674262,19
3984160,14115,29674333,20
3984161,14115,29674325,1
3984161,14115,29674184,2
3984162,14115,29674205,1
3984162,14115,29674236,3
3984162,14115,29674211,4
3984162,14115,29674373,6
3984162,14115,29674217,7
3984162,14115,29675557,9
3984163,14115,29674197,1
3984163,14115,29674326,3
3984163,14115,29674396,4
3984164,14115,29674374,1
3984164,14115,29674218,2
3984164,14115,29674251,4
3984165,14115,29674224,1
3984165,14115,29674185,2
3984165,14115,29674231,4
3984165,14115,29674206,5
3984165,14115,29674237,7
3984165,14115,29674212,8
3984165,14115,29674243,10
3984165,14115,29674187,11
3984165,14115,29674252,13
3984166,14115,29674225,1
3984166,14115,29674202,2
3984166,14115,29674350,4
3984166,14115,29674361,5
3984166,14115,29674356,7
3984166,14115,29674369,8
3984166,14115,29674329,10
3984166,14115,29674220,11
3984166,14115,29674308,13
3984166,14115,29674191,14
3984166,14115,29674260,16
3984166,14115,29674331,17
3984166,14115,29674330,19
3984167,14115,29674199,1
3984167,14115,29674229,3
3984167,14115,29674335,4
3984167,14115,29674235,6
3984167,14115,29674210,7
3984167,14115,29674241,9
3984167,14115,29674216,10
3984167,14115,29674183,12
3984168,14115,29674200,1
3984168,14115,29674303,3
3984168,14115,29674365,4
3984168,14115,29674354,6
3984168,14115,29674370,7
3984168,14115,29674360,9
3984168,14115,29674302,10
3984168,14115,29674250,12
3984168,14115,29674189,13
3984168,14115,29674258,15
3984168,14115,29674195,16
3984168,14115,29674263,18
3984169,14115,29674226,1
3984169,14115,29674203,2
3984169,14115,29674351,4
3984169,14115,29674368,5
3984169,14115,29674357,7
3984169,14115,29674362,8
3984169,14115,29674246,10
3984169,14115,29674306,11
3984169,14115,29674255,13
3984169,14115,29674193,14
3984170,14115,29674227,1
3984170,14115,29674323,2
3984170,14115,29674234,4
3984170,14115,29674209,5
3984170,14115,29674240,7
3984170,14115,29674215,8
3984170,14115,29674264,10
3984170,14115,29674222,11
3984171,14115,29674201,1
3984171,14115,29674327,3
